יישוב,מאומתים,חולים פעילים,חולים חדשים ב-7 ימים האחרונים,בדיקות ב-7 ימים האחרונים,"חולים פעילים ל- 10,000 נפש"
כפר כמא,קטן מ-15,קטן מ-15,6-10,102,33
מתן,22,קטן מ-15,1-5,48,12
בית אריה,47,קטן מ-15,1-5,36,8
יבנאל,106,קטן מ-15,1-5,49,12
כפר תבור,29,קטן מ-15,0,57,7
אבן יהודה,107,קטן מ-15,1-5,140,9
קדימה-צורן,122,קטן מ-15,1-5,216,6
ראש פינה,קטן מ-15,קטן מ-15,1-5,17,7
טלמון,30,קטן מ-15,1-5,39,8
עלי,35,קטן מ-15,6-10,33,15
מסעודין אל-עזאזמה,קטן מ-15,קטן מ-15,0,37,1
טובא-זנגריה,קטן מ-15,קטן מ-15,0,38,3
אבו רובייעה (שבט),קטן מ-15,קטן מ-15,1-5,10,1
אחוזת ברק,קטן מ-15,קטן מ-15,1-5,26,13
אלון שבות,31,קטן מ-15,0,35,3
נווה דניאל,20,קטן מ-15,1-5,21,4
שמשית,24,קטן מ-15,1-5,38,17
שילה,27,קטן מ-15,0,22,2
פרדסיה,28,קטן מ-15,1-5,73,8
סביון,64,קטן מ-15,1-5,97,12
רמת ישי,26,קטן מ-15,1-5,88,11
כוכב השחר,28,קטן מ-15,0,21,4
"כפר חב""ד",177,קטן מ-15,1-5,75,15
עיילבון,34,קטן מ-15,1-5,121,19
בית דגן,71,קטן מ-15,6-10,83,15
אבו רוקייק (שבט),קטן מ-15,קטן מ-15,1-5,38,6
תל שבע,52,קטן מ-15,1-5,158,4
"בני עי""ש",41,קטן מ-15,1-5,91,15
ערערה-בנגב,347,קטן מ-15,1-5,113,5
צור יצחק,20,קטן מ-15,6-10,91,13
פסוטה,קטן מ-15,קטן מ-15,0,46,3
כפר ורדים,33,קטן מ-15,1-5,79,11
עין קנייא,42,קטן מ-15,6-10,50,51
מוקייבלה,37,קטן מ-15,1-5,36,31
גבעת אבני,25,קטן מ-15,1-5,60,49
רומת הייב,קטן מ-15,קטן מ-15,1-5,33,33
עלי זהב,26,קטן מ-15,1-5,38,14
ניצן,32,קטן מ-15,1-5,39,30
חשמונאים,58,קטן מ-15,6-10,50,33
נופית,קטן מ-15,קטן מ-15,1-5,21,12
נוקדים,קטן מ-15,קטן מ-15,0,15,5
אעצם (שבט),קטן מ-15,קטן מ-15,0,36,1
כאוכב אבו אל-היג'א,20,קטן מ-15,1-5,69,13
צור משה,קטן מ-15,קטן מ-15,1-5,24,23
נאעורה,28,קטן מ-15,6-10,18,58
ברכה,קטן מ-15,קטן מ-15,0,10,7
זרזיר,41,קטן מ-15,1-5,69,9
עוזייר,48,קטן מ-15,1-5,51,37
צור הדסה,64,קטן מ-15,1-5,119,8
מצפה רמון,48,קטן מ-15,1-5,29,10
גן נר,קטן מ-15,קטן מ-15,1-5,31,8
ג'ש (גוש חלב),קטן מ-15,קטן מ-15,1-5,45,3
גבעת ברנר,21,קטן מ-15,1-5,16,43
פדואל,16,קטן מ-15,0,29,14
עתלית,52,קטן מ-15,6-10,70,13
צופים,16,קטן מ-15,1-5,29,13
להבים,53,קטן מ-15,6-10,127,16
עץ אפרים,27,קטן מ-15,1-5,53,33
מרכז שפירא,40,קטן מ-15,1-5,27,19
בית יצחק-שער חפר,15,קטן מ-15,1-5,28,5
קודייראת א-צאנע(שבט),קטן מ-15,קטן מ-15,1-5,9,7
כפר מצר,49,קטן מ-15,0,21,11
אום בטין,קטן מ-15,קטן מ-15,1-5,25,15
לפיד,21,קטן מ-15,1-5,22,33
קצרין,20,קטן מ-15,0,75,4
סולם,קטן מ-15,קטן מ-15,1-5,38,7
נוף איילון,16,קטן מ-15,1-5,21,9
קרית טבעון,69,קטן מ-15,1-5,340,6
בת חפר,33,קטן מ-15,1-5,68,8
אליכין,23,קטן מ-15,1-5,51,15
כפר אדומים,24,קטן מ-15,0,38,12
קיסריה,31,קטן מ-15,1-5,70,13
חורה,292,קטן מ-15,6-10,140,7
הר אדר,31,קטן מ-15,1-5,33,2
בית אל,49,קטן מ-15,1-5,62,5
בנימינה-גבעת עדה,85,קטן מ-15,1-5,241,4
אלקנה,53,קטן מ-15,1-5,52,13
מצפה יריחו,31,קטן מ-15,1-5,17,21
תקוע,18,קטן מ-15,1-5,39,5
אלעזר,20,קטן מ-15,1-5,35,8
קדומים,21,קטן מ-15,0,42,2
עפרה,36,קטן מ-15,1-5,23,3
רבבה,39,קטן מ-15,6-10,40,26
אלפי מנשה,63,קטן מ-15,6-10,92,11
קרית ארבע,56,קטן מ-15,1-5,81,10
כפר האורנים,62,קטן מ-15,1-5,32,27
הושעיה,25,קטן מ-15,1-5,22,20
גני מודיעין,קטן מ-15,קטן מ-15,1-5,29,3
ביר הדאג',0,0,0,4,0
אטרש (שבט),0,0,0,18,0
סייד (שבט),0,0,0,4,0
אבו תלול,0,0,0,7,0
ע'ג'ר,קטן מ-15,0,0,15,0
קצר א-סר,0,0,0,6,0
אבו קורינאת (שבט),0,0,0,14,0
אבו ג'ווייעד (שבט),0,0,0,13,0
בית חשמונאי,קטן מ-15,0,0,11,0
אל סייד,קטן מ-15,0,0,6,0
הוואשלה (שבט),קטן מ-15,0,0,12,0
